dt_referencia;no_produto;no_indicador;vr_real
"2010-01-04";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-04";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-04";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.0
"2010-01-04";"café em coco";"Café em coco kg renda";3.6
"2010-01-04";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";53.81
"2010-01-04";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";54.7
"2010-01-04";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.91
"2010-01-04";"soja";"Soja industrial tipo 1 sc 60 Kg";40.22
"2010-01-04";"trigo";"Trigo pão PH 78 sc 60 Kg";23.8
"2010-01-04";"boi";"Boi em pé arroba";72.28
"2010-01-04";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.6
"2010-01-04";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-04";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-04";"vaca";"Vaca em pé (padrão corte) arroba";66.71
"2010-01-04";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.48
"2010-01-04";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-05";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-05";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-05";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-05";"café em coco";"Café em coco kg renda";3.59
"2010-01-05";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";55.58
"2010-01-05";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";55.15
"2010-01-05";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.87
"2010-01-05";"soja";"Soja industrial tipo 1 sc 60 Kg";39.93
"2010-01-05";"trigo";"Trigo pão PH 78 sc 60 Kg";23.99
"2010-01-05";"boi";"Boi em pé arroba";72.51
"2010-01-05";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-05";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-05";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-05";"vaca";"Vaca em pé (padrão corte) arroba";66.63
"2010-01-05";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";222.28
"2010-01-05";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
